publication_number,title,abstract,publication_date,assignee,inventor,cpc_code
US-2024415804-A1,Method of treating pancreatic cancer,"A novel method of treating cancer is presented. API transcriptionally regulates SHIP-1 expression via the suppression of miRNA-155, impacting anti-tumor immune responses in the bone marrow (BM) and TME of mice with PC. The inventors discovered that API reduced miRNA-155 in the PC milieu, which induced SHIP-1 expression. This promoted the restoration of myelopoiesis and increased anti-tumor immune responses in the TME of heterotopic, orthotopic and transgenic SHIP-1 knockout preclinical mouse models of PC. The results suggest that manipulating SHIP-1 through miR-155 can assist in augmenting anti-tumor immune responses and aid in the therapeutic intervention of PC. Further, administration of both API and an miR-155 inhibitor were found to act synergistically to treat pancreatic cancer.",20241219,UNIV SOUTH FLORIDA,GHANSAH TOMAR,G01N33/57525
US-2023355112-A1,Methods for monitoring blood pressure of a person that utilizes velocity and pulse wave signal information,"Methods for monitoring blood pressure of a person are disclosed. In an embodiment, a method involves receiving velocity data that is generated from electromagnetic energy that has reflected from below the skin surface of a person, receiving pulse wave data that is generated from electromagnetic energy that has reflected from below the skin surface of a person, applying the velocity data and the pulse wave data to a machine learning engine that includes a trained model, and outputting from the machine learning engine an indication of the blood pressure of the person in response to the velocity data and the pulse wave data.",20231109,MOVANO INC,LEABMAN MICHAEL A,A61B5/02125
US-2023381468-A1,Inflatable balloon over catheter with bypass passageway,"A medical device that delivers therapeutic agent to the tissue within the bodily passageway while simultaneously permitting flow of bodily fluids past the location of treatment. The medical device includes an inflatable balloon and optionally one or more balloon wall openings that are configured to allow fluid in the interior of the inflatable balloon to flow through the inflatable balloon when the inflatable balloon is pressurized by the fluid in the interior of the inflatable balloon. During the inflation of the inflatable balloon at the treatment site, the flow of blood through the blood vessel is maintained across the treatment site by use of one or more bypass passageways in the medical device.",20231130,PATEL UDAYAN,PATEL UDAYAN,A61M25/1002
US-11129561-B2,"Modular device and method for analog electroencephalography synchronization with oscillating electrical light-related events, and motor behaviors","This invention relates to a device that is intended to synchronize electroencephalograms (EEGs), recorded by any digital equipment, to physical events (sensorial, visual or auditory stimuli) and behavioral events (motor response, vocal response), in order to allow EEG signal mediation for the purpose of visualizing Evoked Potentials or Event-Related Potentials, which are important research subjects in the neurosciences and clinical investigations into neurological and psychiatric pathologies. This invention allows any digital EEG device to be transformed into equipment that can record Evoked Potentials. This invention also provides a method for analog synchronization of EEGs with oscillating electric light-related events and motor behaviors.",20210928,FUND OSWALDO CRUZ FIOCRUZ,ABRAMOV DIMITRI MARQUES,A61B5/377
US-11246923-B2,Process for producing an allergen extract,"The present invention discloses processes for producing native, depigmented and polymerised allergen extracts. The invention further discloses extracts produced via the processes, and pharmaceutical and vaccine compositions comprising the extracts, for diagnosis and treatment of allergy.",20220215,LABORATORIOS LETI S L UNIPERSONAL,SANCHEZ JERONIMO CARNES,A61K39/35
US-2020237262-A1,Activity recognition,"A variety of techniques are used automate the collection and classification of workout data gathered by a wearable physiological monitor. The classification process is staged in order to correctly and efficiently characterize a workout type. Initially, a generalized workout event is detected using motion and heart rate data. Then a location of the monitor on a user is determined. An artificial intelligence engine can then be conditionally applied (if a workout is occurring and a suitable device location is detected) to identify the type of workout. In addition to improved speed and accuracy, a workout detection process implemented in this manner can be realized with a sufficiently small computational footprint for deployment on a wearable physiological monitor.",20200730,WHOOP INC,TODD BRIAN ANTHONY,G06N3/045
US-2020364624-A1,Privacy Preserving Artificial Intelligence System For Dental Data From Disparate Sources,"Dental images are processed according to a first machine learning model to determine teeth labels. The teeth labels and image are processed using a second machine learning model to label anatomy. The anatomy labels, teeth labels, and image are processed using a third machine learning model to obtain feature measurements, such as pocket depth and clinical attachment level. The feature measurements, labels, and image may be input to a fourth machine learning model to obtain a diagnosis for a periodontal condition. Machine learning models may further be used to reorient, decontaminate, and restore the image prior to processing. A machine learning model may be made resistant to deception by images including added adversarial noise. Institutions with separate data stores may train static models that are combined and the combination is then trained by the institutions along with a combined moving model that is passed among the institutions.",20201119,Retrace Labs,KEARNEY VASANT,G06T7/0014
US-2021042458-A1,Predictive Modeling Platform for Serial Casting to Correct Orthopedic Deformities,"A system and method are provided herein for modelling of force vectors for a cast to correct orthopedic deformities receives an image of the deformity, determines a deviation between a three-dimensional stereo-typical anatomical alignment and the three-dimensional model of the deformity, generates a next intermediate anatomical alignment in a series of intermediate anatomical alignments for correcting the deviation based on a machine learning model trained on a plurality of prior patient data, simulates a plurality of trial force vectors for a next cast to correct the deformity to the next intermediate anatomical alignment, wherein the simulation produces a projected anatomical alignment post-treatment with the next cast on the deformity using finite element analysis for each of the trial force vectors, and identifies a next force vector from the plurality of trial force vectors that minimizes the difference between the projected anatomical alignment and the next intermediate anatomical alignment.",20210211,BABYSTEPS ORTHOPEDICS INC,DAYAL ANURADHA,G06F30/27
US-2023177687-A1,Automatically determining a brock score,"Disclosed is a system and a method for determining a brock score. A CT scan image may be resampled into a plurality of slices using a bilinear interpolation. A nodule may be detected on one or more of the plurality of slices. A region of interest associated with the nodule may be identified using an image processing technique. Further, a nodule segmentation may be performed to remove an area surrounding the region of interest. Subsequently, a plurality of characteristics associated with the nodule may be identified automatically using a deep learning model. Finally, a brock score for the patient may be determined based on the plurality of characteristics and demographic data of the patient.",20230608,QURE AI TECH PRIVATE LIMITED,WARIER PRASHANT,G06T2207/30096
US-2020187779-A1,"Multi-biometric-factor, internet of things (iot), secured network","A method for authenticating to a network comprising a plurality of Internet of Things (“IoT”) devices is provided. The method may include using a mobile telephone apparatus, a wrist-worn apparatus and a head-worn apparatus to monitor the level of at least one of a wearer&#39;s pulse, body temperature, voice, gait and/or other biorhythmic indicator. One of the aforementioned apparatus may operate as a hub apparatus. The method may further include using the hub apparatus to assign a federated biometric marker based at least in part on the first, second and third biometric markers. The method may also include using artificial intelligence to monitor for one or more outliers with respect to historical monitoring. Each of the one or more outliers may include a magnitude that exceeds a security threshold difference between the current magnitude and the historically monitored magnitude. When the difference in magnitude exceeds a security threshold difference between the current magnitude and the historically monitored magnitude the method may quarantine apparatus associated with the outlier.",20200618,BANK OF AMERICA,LAWRENCE PATRICK NICHOLAS,A61B5/6824
US-2020352543-A1,System and method for fusing three dimensional image data from a plurality of different imaging systems for use in diagnostic imaging,"A multi-modality cancer screening and diagnosis system is provided that allows cancer screening and diagnosis of a patient using at least two different and sequential three-dimensional imaging techniques without patient repositioning. The system includes a first three-dimensional image acquisition device, a second three-dimensional image acquisition device having a probe with a transmitter mounted thereon, and a positioning paddle for positioning and immobilizing an object to be imaged during the cancer screening and diagnosis procedure. The positioning paddle is designed to facilitate visualization of the breast in both three-dimensional modalities without movement of the patient, and preferably is designed to position the patient with comfort during a diagnosis procedure which uses both imaging modalities.",20201112,HOLOGIC INC,DEFREITAS KENNETH F,A61B6/566
US-2020359932-A1,Magnetic field distortion detection and correction in a magnetic localization system,"Various embodiments of the present disclosure identify and correct for magnetic field distortions within a magnetic field for localization of a medical device within a patient. Such magnetic field distortions, often associated with the intrusion of a metallic object into the magnetic field, may cause an unacceptable level of localization error which aspects of the present disclosure correct for.",20201119,ST JUDE MEDICAL INT HOLDING SARL,OLSON ERIC S,A61B34/20
US-2021030928-A1,Cross-linked fatty acid-based biomaterials,"Fatty acid-based, pre-cure-derived biomaterials, methods of making the biomaterials, and methods of using them as drug delivery carriers are described. The fatty acid-derived biomaterials can be utilized alone or in combination with a medical device for the release and local delivery of one or more therapeutic agents. Methods of forming and tailoring the properties of said biomaterials and methods of using said biomaterials for treating injury in a mammal are also provided.",20210204,ATRIUM MEDICAL CORP,FAUCHER KEITH M,A61L31/16
