id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-D677384-S,Surgical hip anterior approach arthroplasty device ,"Smith & Nephew, Inc.",David C. Kelman,2003-11-18,2011-09-23,2013-03-05,2013-03-05,https://patents.google.com/patent/USD677384S1/en,https://patentimages.storage.googleapis.com/60/2f/3b/be463ceb6146fd/USD0677384-20130305-D00000.png
US-D695407-S,Surgical generator ,"Ethicon Endo-Surgery, Inc.","Daniel W. Price, Matthew C. Miller, Cory G. Kimball, Brennan G. McCabe, Jeffrey L. Aldridge, Eitan T. Wiener, William E. Clem",2009-10-09,2011-04-13,2013-12-10,2013-12-10,https://patents.google.com/patent/USD695407S1/en,https://patentimages.storage.googleapis.com/d5/3f/a5/0518ee4ad99c31/USD0695407-20131210-D00000.png
US-D847989-S,Surgical fastener cartridge ,Ethicon Llc,"Frederick E. Shelton, IV, Jason L. Harris, Gregory J. Bakos",2016-06-24,2016-06-24,2019-05-07,2019-05-07,https://patents.google.com/patent/USD847989S1/en,https://patentimages.storage.googleapis.com/1a/30/05/77271205ce0ef6/USD0847989-20190507-D00000.png
US-D948043-S,Surgical fastener ,Cilag Gmbh International,"Frederick E. Shelton, IV, Jason L. Harris, Gregory J. Bakos, Chester O. Baxter, III",2016-06-24,2020-08-19,2022-04-05,2022-04-05,https://patents.google.com/patent/USD948043S1/en,https://patentimages.storage.googleapis.com/ab/b1/15/5e9737609e4aee/USD0948043-20220405-D00000.png
US-D896380-S,Surgical fastener cartridge ,Ethicon Llc,"Frederick E. Shelton, IV, Jason L. Harris, Gregory J. Bakos",2016-06-24,2019-03-05,2020-09-15,2020-09-15,https://patents.google.com/patent/USD896380S1/en,https://patentimages.storage.googleapis.com/92/3a/d6/8cb4f64d53d81a/USD0896380-20200915-D00000.png
US-D822206-S,Surgical fastener ,Ethicon Llc,"Frederick E. Shelton, IV, Jason L. Harris, Gregory J. Bakos, Chester O. Baxter, III",2016-06-24,2016-06-24,2018-07-03,2018-07-03,https://patents.google.com/patent/USD822206S1/en,https://patentimages.storage.googleapis.com/d8/27/a9/a2ddf0b980a5a1/USD0822206-20180703-D00000.png
US-D831209-S,Surgical stapler cartridge ,Ethicon Llc,"Thomas W. Huitema, Michael E. Setser, Bret W. Smith",2017-09-14,2017-09-14,2018-10-16,2018-10-16,https://patents.google.com/patent/USD831209S1/en,https://patentimages.storage.googleapis.com/bc/14/dd/598ff065ea0cc2/USD0831209-20181016-D00000.png
US-D744647-S,Surgical clip ,Conmed Corporation,Pavel Menn,2010-03-10,2014-03-18,2015-12-01,2015-12-01,https://patents.google.com/patent/USD744647S1/en,https://patentimages.storage.googleapis.com/9d/59/6d/62e7bd99c47f57/USD0744647-20151201-D00000.png
US-D959662-S,Buttress assembly for a surgical stapler ,Cilag Gmbh International,"Pamela M. Ridgley, Michael J. Vendely, Emily A. Schellin, Jason L. Harris, Prudence A. Vulhop, Trevor J. Barton",2018-12-28,2021-09-17,2022-08-02,2022-08-02,https://patents.google.com/patent/USD959662S1/en,https://patentimages.storage.googleapis.com/b8/d9/cb/33827d4111c189/USD0959662-20220802-D00000.png
US-D794796-S,Intervertebral implant ,"Nuvasive, Inc.",Erika Lin,2013-10-10,2016-09-12,2017-08-15,2017-08-15,https://patents.google.com/patent/USD794796S1/en,https://patentimages.storage.googleapis.com/b0/68/67/91d588ee2e1285/USD0794796-20170815-D00000.png
