id,title,date,assignee,word_count,date_parsed,year,type_document,text_for_rag
EP-3315085-B1,Système et procédé d implant d articulation sacro-iliaque,2021-09-29,"Warsaw Orthopedic, Inc.",8,2021-09-29,2021,Certificat d'utilité,[Certificat d'utilité] TITLE: Système et procédé d implant d articulation sacro-iliaque
EP-3270804-B1,Système d implant rachidien,2021-07-14,"Warsaw Orthopedic, Inc.",4,2021-07-14,2021,Certificat d'utilité,[Certificat d'utilité] TITLE: Système d implant rachidien
EP-3525700-B1,Système d implant rachidien,2023-11-29,"Warsaw Orthopedic, Inc.",4,2023-11-29,2023,Certificat d'utilité,[Certificat d'utilité] TITLE: Système d implant rachidien
EP-3406226-B1,Système d implant vertébral,2023-02-15,"Warsaw Orthopedic, Inc.",4,2023-02-15,2023,Certificat d'utilité,[Certificat d'utilité] TITLE: Système d implant vertébral
EP-3209226-B1,Implant de remodelage osseux interactif réglable à distance,2020-11-25,"NuVasive Specialized Orthopedics, Inc.",8,2020-11-25,2020,Certificat d'utilité,[Certificat d'utilité] TITLE: Implant de remodelage osseux interactif réglable à distance
EP-3277210-B1,Dispositif d implant osseux anti-pénétration,2023-08-02,Versitech Limited,5,2023-08-02,2023,Certificat d'utilité,[Certificat d'utilité] TITLE: Dispositif d implant osseux anti-pénétration
EP-3476319-B1,Implant ayant une partie intramédullaire et une partie extramédullaire décalée,2022-10-05,"Wright Medical Technology, Inc.",10,2022-10-05,2022,Certificat d'utilité,[Certificat d'utilité] TITLE: Implant ayant une partie intramédullaire et une partie extramédullaire décalée
EP-3634280-B1,Système d implant rachidien,2024-07-17,"Warsaw Orthopedic, Inc.",4,2024-07-17,2024,Certificat d'utilité,[Certificat d'utilité] TITLE: Système d implant rachidien
EP-3229722-B1,"Planification, numérisation et alignement à base d implant de système d arthroplastie totale d articulation",2023-03-22,"Think Surgical, Inc.",15,2023-03-22,2023,Certificat d'utilité,"[Certificat d'utilité] TITLE: Planification, numérisation et alignement à base d implant de système d arthroplastie totale d articulation"
EP-2675391-B1,Appareil pour la distribution et le positionnement de matériaux en feuille,2017-09-27,"Rotation Medical, Inc.",11,2017-09-27,2017,Certificat d'utilité,[Certificat d'utilité] TITLE: Appareil pour la distribution et le positionnement de matériaux en feuille
EP-3658049-B1,Système d implant rachidien,2024-08-28,"Warsaw Orthopedic, Inc.",4,2024-08-28,2024,Certificat d'utilité,[Certificat d'utilité] TITLE: Système d implant rachidien
EP-2091448-B1,Système d implant rachidien,2011-08-03,"Warsaw Orthopedic, Inc.",4,2011-08-03,2011,Certificat d'utilité,[Certificat d'utilité] TITLE: Système d implant rachidien
EP-3366240-B1,Système d implant vertébral,2023-08-16,"Warsaw Orthopedic, Inc.",4,2023-08-16,2023,Certificat d'utilité,[Certificat d'utilité] TITLE: Système d implant vertébral
EP-3366263-B1,Implant intervertébral expansible et dispositif d insertion articulable,2021-03-03,"Warsaw Orthopedic, Inc.",8,2021-03-03,2021,Certificat d'utilité,[Certificat d'utilité] TITLE: Implant intervertébral expansible et dispositif d insertion articulable
EP-3784129-B1,Dispositifs pour la chirurgie du genou pourvus de capteur inertiels,2023-11-22,Techmah Medical LLC,10,2023-11-22,2023,Certificat d'utilité,[Certificat d'utilité] TITLE: Dispositifs pour la chirurgie du genou pourvus de capteur inertiels
EP-3785673-B1,Implant intervertébral expansible et dispositif d insertion articulable,2024-08-28,"Warsaw Orthopedic, Inc.",8,2024-08-28,2024,Certificat d'utilité,[Certificat d'utilité] TITLE: Implant intervertébral expansible et dispositif d insertion articulable
EP-1807008-B1,Instrument destines a l insertion et a l alignement d un implant intervertebral,2011-08-17,"DePuy Spine, Inc.",13,2011-08-17,2011,Certificat d'utilité,[Certificat d'utilité] TITLE: Instrument destines a l insertion et a l alignement d un implant intervertebral
EP-2419054-B1,Espaceur intervertébral souple et système d implant vertébral avec ce espaceur,2015-09-16,Synthes GmbH,11,2015-09-16,2015,Certificat d'utilité,[Certificat d'utilité] TITLE: Espaceur intervertébral souple et système d implant vertébral avec ce espaceur
EP-3316825-B1,Implant expansible,2022-04-27,Medos International Sarl,2,2022-04-27,2022,Certificat d'utilité,[Certificat d'utilité] TITLE: Implant expansible
EP-3362000-B1,Système d implant vertébral déployable,2023-03-08,"Warsaw Orthopedic, Inc.",5,2023-03-08,2023,Certificat d'utilité,[Certificat d'utilité] TITLE: Système d implant vertébral déployable
EP-3615135-B1,Système d implant rachidien,2023-04-19,"Warsaw Orthopedic, Inc.",4,2023-04-19,2023,Certificat d'utilité,[Certificat d'utilité] TITLE: Système d implant rachidien
EP-3612114-B1,Système et procédé d implant rachidien,2023-10-04,"Warsaw Orthopedic, Inc.",6,2023-10-04,2023,Certificat d'utilité,[Certificat d'utilité] TITLE: Système et procédé d implant rachidien
