id,title,date,assignee,word_count,date_parsed,year,type_document,text_for_rag
US-D677384-S,Surgical hip anterior approach arthroplasty device,2013-03-05,"Smith & Nephew, Inc.",6,2013-03-05,2013,Modèle industriel,[Modèle industriel] TITLE: Surgical hip anterior approach arthroplasty device
US-D695407-S,Surgical generator,2013-12-10,"Ethicon Endo-Surgery, Inc.",2,2013-12-10,2013,Modèle industriel,[Modèle industriel] TITLE: Surgical generator
US-D847989-S,Surgical fastener cartridge,2019-05-07,Ethicon Llc,3,2019-05-07,2019,Modèle industriel,[Modèle industriel] TITLE: Surgical fastener cartridge
US-D948043-S,Surgical fastener,2022-04-05,Cilag Gmbh International,2,2022-04-05,2022,Modèle industriel,[Modèle industriel] TITLE: Surgical fastener
US-D896380-S,Surgical fastener cartridge,2020-09-15,Ethicon Llc,3,2020-09-15,2020,Modèle industriel,[Modèle industriel] TITLE: Surgical fastener cartridge
US-D822206-S,Surgical fastener,2018-07-03,Ethicon Llc,2,2018-07-03,2018,Modèle industriel,[Modèle industriel] TITLE: Surgical fastener
US-D831209-S,Surgical stapler cartridge,2018-10-16,Ethicon Llc,3,2018-10-16,2018,Modèle industriel,[Modèle industriel] TITLE: Surgical stapler cartridge
US-D744647-S,Surgical clip,2015-12-01,Conmed Corporation,2,2015-12-01,2015,Modèle industriel,[Modèle industriel] TITLE: Surgical clip
US-D959662-S,Buttress assembly for a surgical stapler,2022-08-02,Cilag Gmbh International,6,2022-08-02,2022,Modèle industriel,[Modèle industriel] TITLE: Buttress assembly for a surgical stapler
US-D794796-S,Intervertebral implant,2017-08-15,"Nuvasive, Inc.",2,2017-08-15,2017,Modèle industriel,[Modèle industriel] TITLE: Intervertebral implant
US-D910847-S,Surgical instrument assembly,2021-02-16,Ethicon Llc,3,2021-02-16,2021,Modèle industriel,[Modèle industriel] TITLE: Surgical instrument assembly
US-D854152-S,Surgical stapler,2019-07-16,Ethicon Llc,2,2019-07-16,2019,Modèle industriel,[Modèle industriel] TITLE: Surgical stapler
US-D895837-S,Surgical guide tray,2020-09-08,"Mighty Oak Medical, Inc.",3,2020-09-08,2020,Modèle industriel,[Modèle industriel] TITLE: Surgical guide tray
US-D979062-S,Interbody bone implant,2023-02-21,"Spinal Elements, Inc.",3,2023-02-21,2023,Modèle industriel,[Modèle industriel] TITLE: Interbody bone implant
US-D905246-S,Tibial implant components,2020-12-15,Mako Surgical Corp.,3,2020-12-15,2020,Modèle industriel,[Modèle industriel] TITLE: Tibial implant components
US-D1014754-S,Buttress assembly for a surgical stapler,2024-02-13,Cilag Gmbh International,6,2024-02-13,2024,Modèle industriel,[Modèle industriel] TITLE: Buttress assembly for a surgical stapler
US-D835281-S,Multimode surgical console,2018-12-04,Stryker Corporation,3,2018-12-04,2018,Modèle industriel,[Modèle industriel] TITLE: Multimode surgical console
US-D753176-S,Medical device display with animated graphical user interface,2016-04-05,Aerocrine Ab,8,2016-04-05,2016,Modèle industriel,[Modèle industriel] TITLE: Medical device display with animated graphical user interface
US-D920515-S,Spinal implant,2021-05-25,"Restor3D, Inc.",2,2021-05-25,2021,Modèle industriel,[Modèle industriel] TITLE: Spinal implant
US-D898913-S,Staple cartridge for a surgical stapler,2020-10-13,Ehticon LLC,6,2020-10-13,2020,Modèle industriel,[Modèle industriel] TITLE: Staple cartridge for a surgical stapler
US-D980425-S,Surgical instrument assembly,2023-03-07,Cilag Gmbh International,3,2023-03-07,2023,Modèle industriel,[Modèle industriel] TITLE: Surgical instrument assembly
US-D897531-S,Stapling head feature for a surgical stapler,2020-09-29,Ethicon Llc,7,2020-09-29,2020,Modèle industriel,[Modèle industriel] TITLE: Stapling head feature for a surgical stapler
US-D794803-S,Medical device receiver and display in combination,2017-08-15,"Dexcom, Inc.",7,2017-08-15,2017,Modèle industriel,[Modèle industriel] TITLE: Medical device receiver and display in combination
US-D1009259-S,Surgical screw extractor,2023-12-26,Shukla Medical,3,2023-12-26,2023,Modèle industriel,[Modèle industriel] TITLE: Surgical screw extractor
US-D1040347-S,Three dimensional mastopexy implant,2024-08-27,"Tepha, Inc.",4,2024-08-27,2024,Modèle industriel,[Modèle industriel] TITLE: Three dimensional mastopexy implant
US-D736921-S,Seal anchor for use in surgical procedures,2015-08-18,Covidien Lp,7,2015-08-18,2015,Modèle industriel,[Modèle industriel] TITLE: Seal anchor for use in surgical procedures
US-D967960-S,Porous tibial implant,2022-10-25,Howmedica Osteonics Corp.,3,2022-10-25,2022,Modèle industriel,[Modèle industriel] TITLE: Porous tibial implant
US-D933217-S,Surgical tool,2021-10-12,Aesculap Ag,2,2021-10-12,2021,Modèle industriel,[Modèle industriel] TITLE: Surgical tool
US-D700698-S,Surgical instrument,2014-03-04,"DePuy Synthes Products, LLC",2,2014-03-04,2014,Modèle industriel,[Modèle industriel] TITLE: Surgical instrument
US-D972137-S,Surgical rasp,2022-12-06,Orthocision Inc.,2,2022-12-06,2022,Modèle industriel,[Modèle industriel] TITLE: Surgical rasp
US-D747800-S,Dermatological medical device,2016-01-19,Dermal Photonics Corporation,3,2016-01-19,2016,Modèle industriel,[Modèle industriel] TITLE: Dermatological medical device
US-D950101-S,Cassette with insert tray for surgical tools,2022-04-26,Straumann Holding Ag,7,2022-04-26,2022,Modèle industriel,[Modèle industriel] TITLE: Cassette with insert tray for surgical tools
US-D800904-S,Surgical stapling instrument,2017-10-24,"Ethicon Endo-Surgery, Llc",3,2017-10-24,2017,Modèle industriel,[Modèle industriel] TITLE: Surgical stapling instrument
